id,xcoord,ycoord,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
72,-1.4709553,53.380676,-1,"The Verve at Sheffield City Hall (November 22, 1992)","Sheffield, UK",,,1992-11-22,1992,11,22,null
73,-4.2369184,55.855057,1900,"The Verve and The Black Crowes at Barrowland Ballroom (November 24, 1992)","Glasgow, UK",,,1992-11-24,1992,11,24,null
74,-1.609466,54.977177,2500,"The Verve at Newcastle City Hall (November 25, 1992)","Newcastle Upon Tyne, UK",,,1992-11-25,1992,11,25,null
75,-1.8731058,52.506416,-1,"The Verve at Aston Events Centre (November 26, 1992)","Birmingham, UK",,,1992-11-26,1992,11,26,null
76,-0.1148897,51.465122,4921,"The Black Crowes with The Verve at O2 Academy Brixton (November 28, 1992)","London, UK",,,1992-11-28,1992,11,28,null
77,-0.1148897,51.465122,4921,"The Black Crowes with The Verve at O2 Academy Brixton (November 29, 1992)","London, UK",,,1992-11-29,1992,11,29,null
78,-2.23149,53.464108,450,"The Verve at Manchester Academy 3 (May 19, 1993)","Manchester, UK",,,1993-05-19,1993,5,19,null
79,-2.979,53.402,-1,"The Verve at Krazy House (May 20, 1993)","Liverpool, UK",,,1993-05-20,1993,5,20,null
80,-3.186456,55.95311,-1,"The Verve at The Venue (May 21, 1993)","Edinburgh, UK",,,1993-05-21,1993,5,21,null
81,-4.2653494,55.8625,300,"The Verve at King Tut's Wah Wah Hut (May 22, 1993)","Glasgow, UK",,,1993-05-22,1993,5,22,null
82,-1.5398636,53.798473,-1,"The Verve at Duchess of York (May 24, 1993)","Leeds, UK",,,1993-05-24,1993,5,24,null
83,-1.4826803,52.923294,-1,"The Verve at Wherehouse (May 25, 1993)","Derby, UK",,,1993-05-25,1993,5,25,null
84,-1.9017591,52.476963,-1,"The Verve at Edward No. 8 (May 26, 1993)","Birmingham, UK",,,1993-05-26,1993,5,26,null
85,-0.9678851,51.451366,-1,"The Verve at After Dark (May 28, 1993)","Reading, UK",,,1993-05-28,1993,5,28,null
86,-1.259,51.745,-1,"The Verve at The Venue (May 29, 1993)","Oxford, UK",,,1993-05-29,1993,5,29,null
87,-2.589343,51.45231,400,"The Verve with Mr. Ray's Wig World at The Fleece (May 31, 1993)","Bristol, UK",,,1993-05-31,1993,5,31,null
88,-0.1417947,50.81998,-1,"The Verve at Zap Club (June 1, 1993)","Brighton, UK",,,1993-06-01,1993,6,1,null
89,-0.6,51.4833,-1,"The Verve at Old Trout (June 2, 1993)","Windsor, UK",,,1993-06-02,1993,6,2,null
90,-0.1302396,51.521408,820,"The Verve at University of London Union (ULU) (June 4, 1993)","London, UK",,,1993-06-04,1993,6,4,null
91,-0.1296387,51.51391,-1,"The Verve at Marquee Club - Charing Cross Road (June 4, 1993)","London, UK",,,1993-06-04,1993,6,4,null
