id,xcoord,ycoord,bng_N,bng_E,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
169,-2.3037128,53.39997,389312.12,379808.56,-1,"Blur at Manchester Central (GMEX) (November 30, 1995)","Manchester, UK",,,1995-11-30,1995,11,30,null
170,-2.3037128,53.39997,389312.12,379808.56,-1,"Blur at Manchester Central (GMEX) (December 1, 1995)","Manchester, UK",,,1995-12-01,1995,12,1,null
171,-0.2827842,51.5577,185764.45,519030.62,12500,"Blur at Wembley Arena (December 2, 1995)","London, UK",,,1995-12-02,1995,12,2,null
172,-0.2827842,51.5577,185764.45,519030.62,12500,"Blur at Wembley Arena (December 3, 1995)","London, UK",,,1995-12-03,1995,12,3,null
173,-3.1726308,51.478806,176245.6,318575.84,7500,"Blur at Motorpoint Arena Cardiff (December 5, 1995)","Cardiff, UK",,,1995-12-05,1995,12,5,null
174,-1.8791888,50.71766,90963.87,408527.8,-1,"Blur at Bournemouth International Centre (December 6, 1995)","Bournemouth, UK",,,1995-12-06,1995,12,6,null
175,-1.624028,54.963074,563235.8,424070.06,-1,"Blur with Brit Pops Orchestra at Metro Radio Arena (December 8, 1995)","Newcastle Upon Tyne, UK",,,1995-12-08,1995,12,8,null
176,-0.3413888,53.73894,428254.16,509385.2,-1,"Blur at Hull Arena (December 9, 1995)","Hull, UK",,,1995-12-09,1995,12,9,null
177,-4.2809606,55.860603,665397.9,257257.62,-1,"Blur at Scottish Exhibition and Conference Centre (December 11, 1995)","Glasgow, UK",,,1995-12-11,1995,12,11,null
178,-0.2827842,51.5577,185764.45,519030.62,12500,"Blur at Wembley Arena (December 13, 1995)","London, UK",,,1995-12-13,1995,12,13,null
179,0.136877,52.190983,256947.36,546050.25,1050,"Blur at The Junction (January 20, 1997)","Cambridge, UK",,,1997-01-20,1997,1,20,null
180,-1.611,54.973,564344.94,424898.0,-1,"Blur with Sneaker Pimps and Silt at Mayfair Ballroom (January 22, 1997)","Newcastle Upon Tyne, UK",,,1997-01-22,1997,1,22,null
181,-4.2369184,55.855057,664690.9,259993.33,1900,"Blur at Barrowland Ballroom (January 23, 1997)","Glasgow, UK",,,1997-01-23,1997,1,23,null
182,-2.9813228,53.407375,390541.25,334771.8,-1,"Blur with Sneaker Pimps and Silt at Royal Court Theatre (January 24, 1997)","Liverpool, UK",,,1997-01-24,1997,1,24,null
183,-1.1535941,52.955887,340206.6,456854.47,2000,"Blur with Sneaker Pimps at Rock City (January 26, 1997)","Nottingham, UK",,,1997-01-26,1997,1,26,null
184,-1.5473124,53.8018,434065.22,429811.28,2700,"Blur with Sneaker Pimps at O2 Academy Leeds (January 27, 1997)","Leeds, UK",,,1997-01-27,1997,1,27,null
185,0.6910414,51.5372,185519.88,586607.1,-1,"Blur at Cliffs Pavilion (January 28, 1997)","Westcliff-on-sea, UK",,,1997-01-28,1997,1,28,null
186,-0.1304708,51.515884,181373.95,529706.4,2000,"Blur at Astoria (February 10, 1997)","London, UK",,,1997-02-10,1997,2,10,null
187,0.99375,52.1842,258265.94,604635.2,-1,"Blur at Peel Acres (April 22, 1997)","Stowmarket, UK",,,1997-04-22,1997,4,22,null
188,0.4522177,51.718914,205141.05,569370.2,90000,V Festival 1997,"Chelmsford, UK",,,1997-08-16,1997,8,16,null
189,-1.548,53.797,433531.12,429769.4,90000,V Festival 1997,"Leeds, UK",,,1997-08-16,1997,8,16,null
190,-1.548,53.797,433531.12,429769.4,-1,V97 1997,"Leeds, UK",,,1997-08-23,1997,8,23,null
191,-0.3413888,53.73894,428254.16,509385.2,-1,"Blur at Hull Arena (November 30, 1997)","Hull, UK",,,1997-11-30,1997,11,30,null
192,-4.2809606,55.860603,665397.9,257257.62,-1,"Blur with Super Furry Animals at Scottish Exhibition and Conference Centre (December 1, 1997)","Glasgow, UK",,,1997-12-01,1997,12,1,null
193,-1.624028,54.963074,563235.8,424070.06,-1,"Blur at Newcastle Arena (December 2, 1997)","Newcastle Upon Tyne, UK",,,1997-12-02,1997,12,2,null
