id,xcoord,ycoord,bng_N,bng_E,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
141,-0.1965816,51.490677,178455.64,525189.1,19000,"Oasis with Bootleg Beatles at Earls Court (November 4, 1997)","London, UK",,,1997-11-04,1997,11,4,null
142,-0.1965816,51.490677,178455.64,525189.1,19000,"Oasis at Earls Court (November 26, 1997)","London, UK",,,1997-11-26,1997,11,26,null
143,-4.2809606,55.860603,665397.9,257257.62,-1,"Oasis at Scottish Exhibition and Conference Centre (December 7, 1997)","Glasgow, UK",,,1997-12-07,1997,12,7,null
144,-4.2809606,55.860603,665397.9,257257.62,-1,"Oasis at Scottish Exhibition and Conference Centre (December 8, 1997)","Glasgow, UK",,,1997-12-08,1997,12,8,null
145,-3.1771,51.478,176160.92,318264.06,-1,"Oasis with Travis at Cardiff Indoor Arena (December 10, 1997)","Cardiff, UK",,,1997-12-10,1997,12,10,null
146,-3.1771,51.478,176160.92,318264.06,-1,"Oasis at Cardiff Indoor Arena (December 11, 1997)","Cardiff, UK",,,1997-12-11,1997,12,11,null
147,-2.3037128,53.39997,389312.12,379808.56,-1,"Oasis at Manchester Central (GMEX) (December 13, 1997)","Manchester, UK",,,1997-12-13,1997,12,13,null
148,-2.3037128,53.39997,389312.12,379808.56,-1,"Oasis at Manchester Central (GMEX) (December 14, 1997)","Manchester, UK",,,1997-12-14,1997,12,14,null
149,-0.2827842,51.5577,185764.45,519030.62,12500,"Oasis with Supergrass at Wembley Arena (December 16, 1997)","London, UK",,,1997-12-16,1997,12,16,null
150,-0.2827842,51.5577,185764.45,519030.62,12500,"Oasis with Supergrass at Wembley Arena (December 17, 1997)","London, UK",,,1997-12-17,1997,12,17,null
151,-0.2827842,51.5577,185764.45,519030.62,12500,"Oasis with Supergrass at Wembley Arena (December 18, 1997)","London, UK",,,1997-12-18,1997,12,18,null
152,-3.4229,56.20613,702409.94,311741.78,17000,T In The Park 2000,"Kinross, UK",,,2000-07-08,2000,7,8,null
153,-2.43333,53.5833,409750.6,371315.38,-1,"Oasis with Happy Mondays and Johnny Marr & The Healers at Reebok Stadium (July 15, 2000)","Bolton, UK",,,2000-07-15,2000,7,15,null
154,-2.43333,53.5833,409750.6,371315.38,-1,"Oasis with Happy Mondays at Reebok Stadium (July 16, 2000)","Bolton, UK",,,2000-07-16,2000,7,16,null
155,-0.128,51.5078,180479.5,529900.8,105000,"Oasis with Happy Mondays and Doves at Wembley Stadium (July 21, 2000)","London, UK",,,2000-07-21,2000,7,21,null
156,-0.128,51.5078,180479.5,529900.8,105000,"Oasis with Doves and Happy Mondays at Wembley Stadium (July 22, 2000)","London, UK",,,2000-07-22,2000,7,22,null
157,-3.235843,55.943424,672951.94,322820.3,-1,"Oasis with Happy Mondays and Doves at Murrayfield Stadium (July 29, 2000)","Edinburgh, UK",,,2000-07-29,2000,7,29,null
158,-0.969,51.454,173339.06,471628.8,-1,Reading Festival 2000,"Reading, UK",,,2000-08-25,2000,8,25,null
159,-4.247,55.86,665261.06,259380.3,-1,Glasgow Green Festival 2000,"Glasgow, UK",,,2000-08-25,2000,8,25,null
160,-4.238972,55.854347,664616.0,259862.25,-1,Glasgow Green Festival 2000,"Glasgow, UK",,,2000-08-25,2000,8,25,null
161,-1.548,53.797,433531.12,429769.4,-1,Leeds Festival 2000,"Leeds, UK",,,2000-08-26,2000,8,26,null
162,-0.2238407,51.503506,179836.06,523262.38,2000,"Oasis with The Music at O2 Shepherd's Bush Empire (October 7, 2001)","London, UK",,,2001-10-07,2001,10,7,null
163,-2.206175,53.460663,396040.47,386312.56,7000,"Oasis with The Music at O2 Apollo Manchester (October 10, 2001)","Manchester, UK",,,2001-10-10,2001,10,10,null
164,-2.206175,53.460663,396040.47,386312.56,7000,"Oasis at O2 Apollo Manchester (October 11, 2001)","Manchester, UK",,,2001-10-11,2001,10,11,null
165,-4.2369184,55.855057,664690.9,259993.33,1900,"Oasis at Barrowland Ballroom (October 13, 2001)","Glasgow, UK",,,2001-10-13,2001,10,13,null
166,-4.2369184,55.855057,664690.9,259993.33,1900,"Oasis with Burn at Barrowland Ballroom (October 14, 2001)","Glasgow, UK",,,2001-10-14,2001,10,14,null
167,-0.4026708,51.6592,196862.6,510474.38,-1,"Oasis at Watford Colosseum (February 5, 2002)","Watford, UK",,,2002-02-05,2002,2,5,null
168,-0.1781517,51.500786,179611.34,526440.44,5544,"Oasis with Black Rebel Motorcycle Club and Richard Ashcroft at Royal Albert Hall (February 6, 2002)","London, UK",,,2002-02-06,2002,2,6,null
169,-0.4026708,51.6592,196862.6,510474.38,-1,"Oasis at Watford Colosseum (February 8, 2002)","Watford, UK",,,2002-02-08,2002,2,8,null
170,-5.915621,54.60381,530244.94,147150.64,-1,"Oasis at Odyssey Arena (June 29, 2002)","Belfast, UK",,,2002-06-29,2002,6,29,null
171,-5.915621,54.60381,530244.94,147150.64,-1,"Oasis at Odyssey Arena (June 30, 2002)","Belfast, UK",,,2002-06-30,2002,6,30,null
172,-0.3413888,53.73894,428254.16,509385.2,-1,"Oasis at Hull Arena (July 2, 2002)","Hull, UK",,,2002-07-02,2002,7,2,null
173,-0.3413888,53.73894,428254.16,509385.2,-1,"Oasis with The Soundtrack Of Our Lives at Hull Arena (July 3, 2002)","Hull, UK",,,2002-07-03,2002,7,3,null
174,-0.128,51.5078,180479.5,529900.8,-1,"Oasis with The Charlatans, Black Rebel Motorcycle Club, The Coral, and 2 more… at Finsbury Park (July 5, 2002)","London, UK",,,2002-07-05,2002,7,5,null
175,-0.128,51.5078,180479.5,529900.8,-1,"Oasis with Black Rebel Motorcycle Club, The Charlatans, The Coral, and 2 more… at Finsbury Park (July 6, 2002)","London, UK",,,2002-07-06,2002,7,6,null
176,-0.128,51.5078,180479.5,529900.8,-1,finsbury park festival 2002,"London, UK",,,2002-07-06,2002,7,6,null
177,-0.128,51.5078,180479.5,529900.8,-1,"Oasis with Black Rebel Motorcycle Club, The Charlatans, The Coral, and 2 more… at Finsbury Park (July 7, 2002)","London, UK",,,2002-07-07,2002,7,7,null
178,-1.611,54.973,564344.94,424898.0,-1,"Oasis at Telewest Arena (July 10, 2002)","Newcastle Upon Tyne, UK",,,2002-07-10,2002,7,10,null
179,-1.611,54.973,564344.94,424898.0,-1,"Oasis at Telewest Arena (July 11, 2002)","Newcastle Upon Tyne, UK",,,2002-07-11,2002,7,11,null
180,-3.42677,56.2075,702567.2,311504.88,-1,T In The Park 2002,"Kinross, UK",,,2002-07-13,2002,7,13,null
181,-2.11,57.1526,806845.94,393345.75,-1,"Oasis at Aberdeen Exhibition & Conference Centre (September 9, 2002)","Aberdeen, UK",,,2002-09-09,2002,9,9,null
182,-2.11,57.1526,806845.94,393345.75,-1,"Oasis at Aberdeen Exhibition & Conference Centre (September 10, 2002)","Aberdeen, UK",,,2002-09-10,2002,9,10,null
183,-3.2488115,55.92827,671279.94,321980.0,-1,"Oasis at Edinburgh Corn Exchange (September 12, 2002)","Edinburgh, UK",,,2002-09-12,2002,9,12,null
184,-2.235,53.477,397863.8,384404.94,-1,"Oasis with Richard Ashcroft, The Soundtrack Of Our Lives, and The Electric Soft Parade at Old Trafford Cricket Ground (September 14, 2002)","Manchester, UK",,,2002-09-14,2002,9,14,null
185,-2.235,53.477,397863.8,384404.94,-1,"Oasis with Richard Ashcroft, The Electric Soft Parade, and The Soundtrack Of Our Lives at Old Trafford Cricket Ground (September 15, 2002)","Manchester, UK",,,2002-09-15,2002,9,15,null
186,-1.147,52.954,340001.75,457299.88,10000,"Oasis with Bandits at Capital FM Arena (November 10, 2002)","Nottingham, UK",,,2002-11-10,2002,11,10,null
187,-1.147,52.954,340001.75,457299.88,10000,"Oasis at Capital FM Arena (November 11, 2002)","Nottingham, UK",,,2002-11-11,2002,11,11,null
188,-4.3562956,55.87013,666615.44,252580.23,-1,"Oasis with Bandits at Braehead Arena (November 13, 2002)","Glasgow, UK",,,2002-11-13,2002,11,13,null
189,-4.3562956,55.87013,666615.44,252580.23,-1,"Oasis at Braehead Arena (November 14, 2002)","Glasgow, UK",,,2002-11-14,2002,11,14,null
190,-3.1726308,51.478806,176245.6,318575.84,7500,"Oasis with Bandits at Motorpoint Arena Cardiff (December 8, 2002)","Cardiff, UK",,,2002-12-08,2002,12,8,null
191,-3.1726308,51.478806,176245.6,318575.84,7500,"Oasis with Bandits at Motorpoint Arena Cardiff (December 9, 2002)","Cardiff, UK",,,2002-12-09,2002,12,9,null
192,-0.1488263,50.82128,104111.836,530377.44,-1,"Oasis with The Electric Soft Parade at Brighton Centre (December 11, 2002)","Brighton, UK",,,2002-12-11,2002,12,11,null
193,-4.152859,50.367966,54291.617,246913.03,-1,"Oasis at Plymouth Pavilions (December 12, 2002)","Plymouth, UK",,,2002-12-12,2002,12,12,null
194,-1.4168171,53.400543,389491.4,438770.53,13500,"Oasis at Motorpoint Arena (December 14, 2002)","Sheffield, UK",,,2002-12-14,2002,12,14,null
195,-2.9813228,53.407375,390541.25,334771.8,-1,"Oasis at Royal Court Theatre (December 16, 2002)","Liverpool, UK",,,2002-12-16,2002,12,16,null
196,-1.9187133,52.48265,287237.75,405519.62,-1,"Oasis with Bandits and The Stands at National Indoor Arena (December 18, 2002)","Birmingham, UK",,,2002-12-18,2002,12,18,null
197,-1.9187133,52.48265,287237.75,405519.62,-1,"Oasis with Ocean Colour Scene at National Indoor Arena (December 19, 2002)","Birmingham, UK",,,2002-12-19,2002,12,19,null
198,-1.86,50.724,91671.41,409880.97,-1,"Oasis with The Bees (UK) and Proud Mary at Poole Lighthouse (June 23, 2004)","Bournemouth, UK",,,2004-06-23,2004,6,23,null
199,-3.04215,51.1617,140847.53,327135.06,-1,Orbital Glastonbury Festival 2004,"Somerset, UK",,,2004-06-23,2004,6,23,null
200,-2.5858552,51.159843,140287.89,359036.28,177500,Glastonbury Festival 2004,"Pilton, UK",,,2004-06-25,2004,6,25,null
201,-0.1304708,51.515884,181373.95,529706.4,2000,"Oasis with Yeti at Astoria (May 10, 2005)","London, UK",,,2005-05-10,2005,5,10,null
202,-3.2065804,55.94878,673515.94,324658.1,-1,"Oasis at Usher Hall (May 15, 2005)","Edinburgh, UK",,,2005-05-15,2005,5,15,null
203,-0.1700149,51.462868,175409.33,527110.44,-1,"Oasis at The Clapham Grand (May 22, 2005)","London, UK",,,2005-05-22,2005,5,22,null
204,-0.0990931,51.494812,179086.72,531944.06,2600,"Oasis at Coronet Theatre (May 25, 2005)","London, UK",,,2005-05-25,2005,5,25,null
205,-0.2252653,51.490875,178429.03,523197.6,5100,"Oasis with The Subways at Eventim Apollo (May 26, 2005)","London, UK",,,2005-05-26,2005,5,26,null
206,-4.2573605,55.82457,661340.6,258603.48,-1,"Oasis with Super Furry Animals, The Futureheads, The Stands, and 1 more… at Hampden Park (June 29, 2005)","Glasgow, UK",,,2005-06-29,2005,6,29,null
207,-2.2044997,53.482925,398516.7,386430.88,-1,"Oasis with Super Furry Animals and The Stands at City of Manchester Stadium (June 30, 2005)","Manchester, UK",,,2005-06-30,2005,6,30,null
208,-2.2044997,53.482925,398516.7,386430.88,-1,"Oasis with The Coral, The Bees (UK), 22-20s, and 1 more… at City of Manchester Stadium (July 2, 2005)","Manchester, UK",,,2005-07-02,2005,7,2,null
209,-2.2044997,53.482925,398516.7,386430.88,-1,"Oasis with Doves, The Subways, The Bees (UK), and 1 more… at City of Manchester Stadium (July 3, 2005)","Manchester, UK",,,2005-07-03,2005,7,3,null
210,-1.2946169,50.94474,116443.09,449550.22,-1,"Oasis with The Redwalls, The Stands, and The Coral at Rose Bowl (July 6, 2005)","Southampton, UK",,,2005-07-06,2005,7,6,null
211,-0.7597312,52.01577,236035.0,485105.44,65000,"Oasis with The Zutons, Secret Machines, 22-20s, and 1 more… at The National Bowl (July 9, 2005)","Milton Keynes, UK",,,2005-07-09,2005,7,9,null
