"OBJECTID,N,9,0","id,N,9,0","xcoord,N,19,11","ycoord,N,19,11","venueSize,N,9,0","gigName,C,254","locationNa,C,254","billing,C,254","headlineAr,C,254","date,D","year,N,9,0","month,N,9,0","day,N,9,0","time,C,254",XBNG,YBNG
94,93,-1.611,54.973,-1,"Arctic Monkeys at Rock City (January 29, 2006)","Newcastle Upon Tyne, UK",,,29/01/06,2006,1,29,null,424999.19,564334.0805
95,94,-1.630738,54.97193,2000,"Max´mo Park, Arctic Monkeys, We Are Scientists, and Mystery Jets at O2 Academy Newcastle (January 29, 2006)","Newcastle Upon Tyne, UK",,,29/01/06,2006,1,29,null,423736.3312,564208.1681
96,95,-1.1535941,52.955887,2000,"Max´mo Park with Arctic Monkeys, We Are Scientists, and Mystery Jets at Rock City (January 31, 2006)","Nottingham, UK",,,31/01/06,2006,1,31,null,456958.8264,340169.7671
97,96,-1.5572104,53.807632,2100,"Max´mo Park with Arctic Monkeys at The Refectory, Leeds University (February 1, 2006)","Leeds, UK",,,01/02/06,2006,2,1,null,429256.65,434684.0807
98,97,-2.9658353,53.40502,-1,"Max´mo Park and Arctic Monkeys with We Are Scientists and Mystery Jets at Liverpool University Guild of Students (Mountford Hall & Stanley Theatre) (February 2, 2006)","Liverpool, UK",,,02/02/06,2006,2,2,null,335887.0035,390234.8471
99,98,-2.23149,53.464108,1500,"Max´mo Park with Arctic Monkeys, Mystery Jets, and We Are Scientists at Manchester Academy (February 4, 2006)","Manchester, UK",,,04/02/06,2006,2,4,null,384728.7049,396398.8156
100,99,-1.4912771,53.381065,-1,"Arctic Monkeys with Max´mo Park, We Are Scientists, and Mystery Jets at Octagon Centre, University of Sheffield (February 7, 2006)","Sheffield, UK",,,07/02/06,2006,2,7,null,433937.4985,387255.4863
101,100,-1.8998971,52.474327,3000,"Max´mo Park with Arctic Monkeys, We Are Scientists, and Mystery Jets at O2 Academy Birmingham (February 8, 2006)","Birmingham, UK",,,08/02/06,2006,2,8,null,406896.471,286270.8479
102,101,1.2490275,52.62884,1500,"Max´mo Park with Arctic Monkeys and Mumm-Ra at Norwich UEA LCR (February 9, 2006)","Norwich, UK",,,09/02/06,2006,2,9,null,619981.2896,308409.7477
103,102,-3.1790237,51.487686,-1,"Max´mo Park and Arctic Monkeys with We Are Scientists and Mystery Jets at Great Hall, Cardiff University (February 11, 2006)","Cardiff, UK",,,11/02/06,2006,2,11,null,318234.1941,177185.6653
104,103,-3.1771,51.478,-1,"Max´mo Park with Arctic Monkeys, We Are Scientists, and Mystery Jets at Cardiff University (February 11, 2006)","Cardiff, UK",,,11/02/06,2006,2,11,null,318350.4357,176106.3257
105,104,0.1194611,52.20439,1800,"Max´mo Park with Arctic Monkeys, We Are Scientists, and Mystery Jets at Corn Exchange Cambridge (February 12, 2006)","Cambridge, UK",,,12/02/06,2006,2,12,null,544931.5587,258357.0779
106,105,-2.593,51.453,1601,"Max´mo Park with Arctic Monkeys, We Are Scientists, and Mystery Jets at O2 Academy Bristol (February 13, 2006)","Bristol, UK",,,13/02/06,2006,2,13,null,358891.4843,172835.5527
107,106,-1.0930138,50.796375,-1,"Max´mo Park and Arctic Monkeys with We Are Scientists and Mystery Jets at Portsmouth Guildhall (February 15, 2006)","Portsmouth, UK",,,15/02/06,2006,2,15,null,464018.6996,100037.5868
108,107,-0.1415366,50.824757,-1,"Arctic Monkeys, Max´mo Park, We Are Scientists, and Mystery Jets at Brighton Dome (February 16, 2006)","Brighton, UK",,,16/02/06,2006,2,16,null,530993.8277,104447.4194
109,108,-0.1148897,51.465122,4921,"Max´mo Park and Arctic Monkeys with We Are Scientists and Mystery Jets at O2 Academy Brixton (February 17, 2006)","London, UK",,,17/02/06,2006,2,17,null,531045.7189,175701.6561
110,109,-1.1535941,52.955887,2000,"Arctic Monkeys with The Little Flames and Reverend and The Makers at Rock City (April 13, 2006)","Nottingham, UK",,,13/04/06,2006,4,13,null,456958.8264,340169.7671
111,110,-4.259961,55.849842,2500,"Arctic Monkeys at O2 Academy Glasgow (April 14, 2006)","Glasgow, UK",,,14/04/06,2006,4,14,null,258612.9293,664158.8111
112,111,-1.6169438,54.97002,-1,"Arctic Monkeys at O2 Academy 2 Newcastle (April 15, 2006)","Newcastle Upon Tyne, UK",,,15/04/06,2006,4,15,null,424620.5244,564000.3655
113,112,-1.8791888,50.71766,-1,"Arctic Monkeys with Reverend and The Makers and The Little Flames at Bournemouth International Centre (April 17, 2006)","Bournemouth, UK",,,17/04/06,2006,4,17,null,408625.18,90899.3831
114,113,-4.152859,50.367966,-1,"Arctic Monkeys at Plymouth Pavilions (April 18, 2006)","Plymouth, UK",,,18/04/06,2006,4,18,null,246990.0923,54223.4016
115,114,-2.1299286,52.586216,4000,"Arctic Monkeys with The Little Flames and Reverend and The Makers at The Civic Hall (April 19, 2006)","Wolverhampton, UK",,,19/04/06,2006,4,19,null,391294.1205,298720.2267
116,115,-2.9934728,51.58761,-1,"Arctic Monkeys with The Little Flames and Reverend and The Makers at Newport Centre (April 21, 2006)","Newport, UK",,,21/04/06,2006,4,21,null,331268.0543,188107.386
117,116,-1.35,53.4333,-1,"Arctic Monkeys at Magna Science Adventure Centre (April 22, 2006)","Rotherham, UK",,,22/04/06,2006,4,22,null,443282.197,393142.9011
118,117,-3.05,53.8167,-1,"Arctic Monkeys at Empress Ballroom (April 23, 2006)","Blackpool, UK",,,23/04/06,2006,4,23,null,330967.6655,436113.71
119,118,-0.3413888,53.73894,-1,"Arctic Monkeys at Hull Arena (April 25, 2006)","Hull, UK",,,25/04/06,2006,4,25,null,509496.5081,428227.1449
120,119,0.1194611,52.20439,1800,"Arctic Monkeys with The Little Flames and Reverend and The Makers at Corn Exchange Cambridge (April 26, 2006)","Cambridge, UK",,,26/04/06,2006,4,26,null,544931.5587,258357.0779
121,120,-0.1148897,51.465122,4921,"Arctic Monkeys with Reverend and The Makers and The Little Flames at O2 Academy Brixton (April 27, 2006)","London, UK",,,27/04/06,2006,4,27,null,531045.7189,175701.6561
122,121,-3.42677,56.2075,-1,T In The Park 2006,"Kinross, UK",,,08/07/06,2006,7,8,null,311592.2497,702572.5347
123,122,-1.48333,53.55,-1,"Arctic Monkeys at Citrus Rooms (August 23, 2006)","Barnsley, UK",,,23/08/06,2006,8,23,null,434330.0221,406053.719
124,123,-0.141771,51.552048,2350,"Arctic Monkeys with Klaxons at The Forum (August 24, 2006)","London, UK",,,24/08/06,2006,8,24,null,528933.1269,185320.4222
125,124,-0.969,51.454,2350,Reading Festival 2006,"Reading, UK",,,25/08/06,2006,8,25,null,471734.4079,173283.7085
126,125,-1.548,53.797,2350,Leeds Festival 2006,"Leeds, UK",,,25/08/06,2006,8,25,null,429870.7064,433504.9945
127,126,-1.8998971,52.474327,3000,"Arctic Monkeys and Lacuna Coil with Poisonblack at O2 Academy Birmingham (October 8, 2006)","Birmingham, UK",,,08/10/06,2006,10,8,null,406896.471,286270.8479
128,127,1.2490275,52.62884,1500,"Arctic Monkeys with Imogen Heap at Norwich UEA LCR (October 9, 2006)","Norwich, UK",,,09/10/06,2006,10,9,null,619981.2896,308409.7477
129,128,-3.1790237,51.487686,-1,"Arctic Monkeys at Great Hall, Cardiff University (November 2, 2006)","Cardiff, UK",,,02/11/06,2006,11,2,null,318234.1941,177185.6653
130,129,-2.8444302,54.077934,-1,"Arctic Monkeys at The Dome (February 17, 2007)","Morecambe, UK",,,17/02/07,2007,2,17,null,344848.0869,464997.711
131,130,-1.2350084,54.57475,-1,"Arctic Monkeys at Middlesbrough Town Hall (February 27, 2007)","Middlesbrough, UK",,,27/02/07,2007,2,27,null,449550.4485,520217.2743
132,131,-1.4055136,50.907608,1749,"Arctic Monkeys with GAS CLUB at Southampton Guildhall (April 9, 2007)","Southampton, UK",,,09/04/07,2007,4,9,null,441895.1236,112183.4769
133,132,-3.5341196,50.735867,-1,"Arctic Monkeys with The Little Flames and GAS CLUB at Great Hall, Devonshire House, University of Exeter (April 10, 2007)","Exeter, UK",,,10/04/07,2007,4,10,null,291837.1232,94039.7399
134,133,-0.1304708,51.515884,2000,"Arctic Monkeys with The Little Flames and GAS CLUB at Astoria (April 12, 2007)","London, UK",,,12/04/07,2007,4,12,null,529819.3053,181318.8073
135,134,-0.1304708,51.515884,2000,"Arctic Monkeys with The Little Flames and GAS CLUB at Astoria (April 13, 2007)","London, UK",,,13/04/07,2007,4,13,null,529819.3053,181318.8073
